"양구군",10346,10337,10333,10378
"인제군",16608,16591,16595,16567
"고성군",15315,15324,15332,15329
"양양군",14966,14948,14919,14923
"충청북도",791497,792075,792609,793580
"청주시",406571,406900,407186,408025
"상당구",89744,89724,89644,89691
"서원구",88279,88320,88333,88432
"흥덕구",137678,137983,138358,138889
"청원구",90870,90873,90851,91013
"충주시",104021,104025,104087,104363
"제천시",66611,66579,66497,66304
"보은군",16786,16787,16820,16819
"옥천군",25629,25664,25692,25723
"영동군",23652,23645,23643,23618
"증평군",19058,19098,19138,19121
"진천군",42856,42879,42816,42754
"괴산군",21294,21352,21368,21318
"음성군",49775,49887,50116,50285
"단양군",15244,15259,15246,15250
"충청남도",1057684,1058425,1059004,1059812
"천안시",315096,315455,315776,316391
"동남구",125868,125967,126113,126464
"서북구",189228,189488,189663,189927
"공주시",53755,53808,53818,53787
"보령시",49072,49048,49018,49023
"아산시",166617,166735,166874,167173
"서산시",84152,84181,84269,84176
"논산시",57308,57317,57303,57255
"계룡시",19498,19527,19521,19552
"당진시",85662,85755,85849,85912
"금산군",26701,26737,26729,26704
"부여군",32343,32328,32296,32280
"서천군",26385,26362,26310,26277
"청양군",16745,16722,16700,16633
"홍성군",49877,49959,50021,50019
"예산군",41059,41069,41086,41171
"태안군",33414,33422,33434,33459
"전북특별자치도",866486,866765,867008,867089
"전주시",297089,297029,297009,296948
"완산구",152864,152860,152861,152848
"덕진구",144225,144169,144148,144100
"군산시",125340,125417,125534,125696
"익산시",131967,132184,132259,132314
"정읍시",54432,54427,54399,54356
"남원시",39953,39931,39932,39942
"김제시",44089,44115,44186,44165
"완주군",49915,49965,50026,50157
"진안군",13737,13738,13759,13741
"무주군",13056,13034,13030,13020
"장수군",11517,11536,11526,11513
"임실군",14902,14881,14863,14835
"순창군",14578,14605,14621,14620
"고창군",28506,28515,28495,28441
"부안군",27405,27388,27369,27341
"전라남도",914302,914435,914527,914397
"목포시",103773,103779,103702,103588
"여수시",128302,128254,128208,128080
"순천시",127367,127397,127448,127508
"나주시",60389,60369,60338,60334
"광양시",72841,72932,73066,73086
"담양군",24133,24106,24079,24046
"곡성군",15616,15618,15620,15592
"구례군",13444,13445,13449,13446
"고흥군",35269,35254,35220,35206
"보성군",21759,21733,21734,21732
"화순군",31754,31750,31714,31686
"장흥군",19666,19696,19703,19702
"강진군",18200,18172,18146,18139
"해남군",34531,34515,34506,34469
"영암군",28647,28603,28577,28446
"무안군",45430,45511,45671,46014
"함평군",17717,17702,17692,17674
"영광군",28186,28221,28301,28412
"장성군",23483,23603,23630,23624
"완도군",25294,25260,25200,25184
"진도군",16436,16437,16440,16389
"신안군",22065,22078,22083,22040
"경상북도",1296263,1296540,1296929,1296320
"포항시",237838,237899,237991,238084
"남구",109284,109254,109254,109233
"북구",128554,128645,128737,128851
"경주시",125868,126059,126091,126182
"김천시",69461,69429,69397,69295
"안동시",81340,81312,81320,81229
"구미시",191500,191723,192196,192450
"영주시",51615,51583,51587,51460
"영천시",54581,54586,54505,54274
"상주시",49068,49040,49059,48986
"문경시",36469,36459,36422,36316
"경산시",132310,132311,132328,132219
"의성군",29176,29166,29179,29160
"청송군",14025,13999,14007,14032
"영양군",8968,8960,8938,8933
"영덕군",19475,19464,19469,19470
"청도군",23447,23435,23437,23439
