"주차장종류별(1)",주차장종류별(2),2019,2019
"주차장종류별(1)",주차장종류별(2),주차장수 (개),면수 (면)
"노상",유료,1,48
"노상",무료,11,559
"노외",공영,52,3781
"노외",민영,72,5652
"부설",소계,17700,321876
"합계",소계,17836,331916
