grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,public_count,private_count,centroid_lon,centroid_lat,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100
g0,0,1,-1,-1,127.07071792615365,36.643079730400785,127.07184822407048,36.64387779992995,0,0,127.07147315533899,36.64360600338241,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g1,0,2,-1,-1,127.07182832520547,36.64119944980274,127.08963445783152,36.64416342035191,0,0,127.08083926286781,36.642893618418896,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g2,0,3,-1,-1,127.13308565967364,36.64432892175472,127.13492074228309,36.64488245146569,0,0,127.13428029073889,36.64468320454759,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g3,0,4,-1,-1,127.13490739197928,36.61969897225023,127.16049735205002,36.645167622291495,0,0,127.15000909611268,36.634987937638414,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g4,1,0,-1,-1,127.00838165815365,36.65000246851387,127.0400049532258,36.66877766954591,0,0,127.02510523122872,36.660819498054835,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g5,1,1,-1,-1,127.03964551384063,36.64385981536167,127.07182832520547,36.669292985342985,0,0,127.05711427067956,36.658571945048465,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6,1,2,-1,-1,127.07119421805758,36.64387779992995,127.1030747423534,36.669799949731654,0,0,127.08552981180294,36.658112580902376,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g7,1,3,-1,-1,127.10274371759124,36.64485390573786,127.13490739197928,36.67029856205471,0,0,127.12108933979566,36.661425001320154,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g8,1,4,-1,-1,127.13429399946688,36.64488245146569,127.16056872026489,36.67066380970903,0,0,127.14564701701863,36.65808894871276,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g9,2,0,-1,-1,127.01523919582695,36.66837758291178,127.03964551384063,36.693217372048444,0,0,127.03008421911383,36.678099842698,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g10,2,1,-1,-1,127.0390250098603,36.66877766954591,127.07119421805758,36.69470805259311,2,0,127.05511332187456,36.6817329952153,2,0.0,33450.4623655914,6.0,0.32786885245901637,0.0,0.000947119179163378,0.10960532387939326,0.11725791880631894,1.1725791880631895
g11,2,2,-1,-1,127.0705593155926,36.669292985342985,127.10274371759124,36.69521548371076,0,0,127.08665412281253,36.68225481485939,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g12,2,3,-1,-1,127.10211918491227,36.669799949731654,127.13429399946688,36.695714555079505,0,0,127.11820919843605,36.68275783468984,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g13,2,4,-1,-1,127.1336798375889,36.67029856205471,127.16412369492484,36.69582456002225,0,0,127.14750358499492,36.68170745425073,2,0.0,33450.4623655914,0.0,0.32786885245901637,0.0,0.0,0.1092896174863388,0.11692016993342523,1.1692016993342522
g14,2,7,-1,-1,127.24438801353853,36.69221983472556,127.26004280824223,36.697627230282365,0,0,127.254591115987,36.69585247388362,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g15,2,8,-1,-1,127.2599300219649,36.690408198933206,127.29151892094708,36.698084493413845,0,0,127.27580636023264,36.69513463111724,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g16,2,9,-1,-1,127.29149439648418,36.69697654460015,127.29706583082474,36.698164335583805,0,0,127.29375918374309,36.69768787047873,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g17,3,1,-1,-1,127.04043946772713,36.694215966756595,127.0705593155926,36.709214962993194,0,0,127.05905629168025,36.700597440978,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g18,3,2,-1,-1,127.07021272959632,36.69470805259311,127.10211918491227,36.72063089978614,0,0,127.08771226687179,36.70658955072671,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g19,3,3,-1,-1,127.10149386887598,36.69521548371076,127.1336798375889,36.72113043049793,0,0,127.11726450934519,36.70816300830886,7,0.0,33450.4623655914,272.0,1.1475409836065573,0.0,0.04293606945540647,0.3968256843539879,0.4245318770048367,4.2453187700483666
g20,3,4,-1,-1,127.13306490534714,36.695714555079505,127.14882779772049,36.72137321726999,0,0,127.13791965043146,36.71149528422237,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g21,3,6,-1,-1,127.20435610006653,36.70855078450234,127.2281048733057,36.72257881158308,0,0,127.21978298535919,36.71837291262228,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g22,3,7,-1,-1,127.22778259089097,36.697399001506625,127.2599300219649,36.723044866173,0,0,127.24567314032525,36.71168856775258,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g23,3,8,-1,-1,127.25935663473467,36.697627230282365,127.29149439648418,36.72350255019326,0,0,127.27542812514824,36.71056548284915,2,0.0,33450.4623655914,1.0,0.32786885245901637,0.0,0.00015785319652722967,0.10934223521851454,0.11697646141224084,1.1697646141224085
g24,3,9,-1,-1,127.29093139788097,36.698084493413845,127.31320705145934,36.723820399206026,0,0,127.29928176937304,36.71209685189242,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g25,4,2,-1,-1,127.08047916675136,36.72031172236995,127.10149386887598,36.74604619791527,0,0,127.09237328582486,36.732600973902414,0,0.0,33450.4623655914,241.0,0.0,0.0,0.03804262036306235,0.012680873454354117,0.013566246394564201,0.13566246394564202
g26,4,3,-1,-1,127.10086776846536,36.72063089978614,127.13306490534714,36.746546188267935,0,0,127.11696894959888,36.73358912744418,4,0.0,33450.4623655914,560.0,0.6557377049180327,0.0,0.08839779005524862,0.24804516499109378,0.2653635680035971,2.653635680035971
g27,4,4,-1,-1,127.13244920174141,36.72113043049793,127.16434842778206,36.74703780284121,0,0,127.14677676734843,36.73560679279152,1,0.0,33450.4623655914,2.0,0.16393442622950818,0.0,0.00031570639305445933,0.05475004420752088,0.05857266792434385,0.5857266792434385
